,img_path,labels
0,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_2-6369-0.jpg,0
1,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9108-11.jpg,0
2,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9079-2.jpg,0
3,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_2-5820-7.jpg,0
4,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9185-5.jpg,0
5,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_2-7966-0.jpg,0
6,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_0-9663-2.jpg,0
7,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_2-5917-3.jpg,0
8,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_0-4252-0.jpg,0
9,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9221-3.jpg,0
10,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_2-5914-1.jpg,0
11,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-5398-3.jpg,0
12,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9139-5.jpg,0
13,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9070-1.jpg,0
14,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_2-5733-10.jpg,0
15,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-9151-9.jpg,0
16,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_0-9418-0.jpg,0
17,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-5396-1.jpg,0
18,/kaggle/input/binary-cropped-crown-of-thorns-dataset/cots_crops/cotscrop-video_1-6879-1.jpg,0
